,Timestamp,State,joint_angles_1,joint_angles_2,joint_angles_3,joint_angles_4,joint_angles_5,joint_angles_6,joint_velocity_1,joint_velocity_2,joint_velocity_3,joint_velocity_4,joint_velocity_5,joint_velocity_6,fts_reading_1,fts_reading_2,fts_reading_3,fts_reading_4,fts_reading_5,fts_reading_6,joint_torque_current_1,joint_torque_current_2,joint_torque_current_3,joint_torque_current_4,joint_torque_current_5,joint_torque_current_6,pose_tx,pose_ty,pose_tz,pose_qw,pose_qx,pose_qy,pose_qz,twist_tx,twist_ty,twist_tz,twist_rx,twist_ry,twist_rz,wrench_fx,wrench_fy,wrench_fz,wrench_mx,wrench_my,wrench_mz,encoder_torques_1,encoder_torques_2,encoder_torques_3,encoder_torques_4,encoder_torques_5,encoder_torques_6,encoder_loadinc_1,encoder_loadinc_2,encoder_loadinc_3,encoder_loadinc_4,encoder_loadinc_5,encoder_loadinc_6,encoder_motorinc_1,encoder_motorinc_2,encoder_motorinc_3,encoder_motorinc_4,encoder_motorinc_5,encoder_motorinc_6,wrench__fts_fx,wrench__fts_fy,wrench__fts_fz,wrench_fts_mx,wrench_fts_my,wrench_fts_mz,target_joint_angles_1,target_joint_angles_2,target_joint_angles_3,target_joint_angles_4,target_joint_angles_5,target_joint_angles_6,target_joint_velocity_1,target_joint_velocity_2,target_joint_velocity_3,target_joint_velocity_4,target_joint_velocity_5,target_joint_velocity_6,target_joint_accelerations_1,target_joint_accelerations_2,target_joint_accelerations_3,target_joint_accelerations_4,target_joint_accelerations_5,target_joint_accelerations_6,target_joint_torque_1,target_joint_torque_2,target_joint_torque_3,target_joint_torque_4,target_joint_torque_5,target_joint_torque_6,target_pose_tx,target_pose_ty,target_pose_tz,target_pose_qw,target_pose_qx,target_pose_qy,target_pose_qz,Target_Pose_Twist_tx,Target_Pose_Twist_ty,Target_Pose_Twist_tz,Target_Pose_Twist_qw,Target_Pose_Twist_qx,Target_Pose_Twist_qy,Target_Pose_Twist_qz,Target_Pose_Acceleration_tx,Target_Pose_Acceleration_ty,Target_Pose_Acceleration_tz,Target_Pose_Acceleration_qw,Target_Pose_Acceleration_qx,Target_Pose_Acceleration_qy,Target_Pose_Acceleration_qz
40,2315.591425421,0,0.625872,0.322377,0.94738,2.68805,1.78998,-0.0808205,0.00029713,-0.00475407,-0.00355967,0.00569547,-0.000355967,0.00569547,7.746818811965127,-3.915995736222154,25.22925313086957,-0.3974530356572079,-0.1068803030700296,0.1974819148881979,-6.62545,-102.745,-67.7232,2.59145,-0.321871,-1.40957,0.586617,0.515568,1.17085,-0.244591,-0.312859,0.124047,0.909344,-0.00225632,-0.00168898,0.00195539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3439189,3316904,3674643,-2546255,15128641,2214452,-202508222,-104456771,-168637247,-725028839,59476394,21563144,0,0,0,0,0,0,0.625846,0.321659,0.94703,2.68838,1.78998,-0.0807805,0.000113233,-9.41302e-05,0.000572962,0.000368621,-0.000735233,-0.00140388,0.00597584,-0.00496768,0.0302386,0.0194519,-0.038803,-0.0740882,0.0373893,-88.492,-50.9122,-0.78441,-1.3841,-1.80348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2315.593371634,0,0.625874,0.322367,0.947381,2.68805,1.78998,-0.0808164,0.000891389,-0.00445694,-0.00142387,0.000711934,-0.000355967,-0.0,7.746818811965127,-3.915995736222154,25.22925313086957,-0.3974530356572079,-0.1068803030700296,0.1974819148881979,-9.37756,-106.007,-69.5804,3.2825,-0.210881,-1.04331,0.586609,0.515565,1.17085,-0.244592,-0.312861,0.124047,0.909343,-0.00368558,-0.00191111,0.00370429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3439185,3316930,3674645,-2546255,15128632,2214441,-202508160,-104453413,-168637164,-725028799,59476566,21563312,0,0,0,0,0,0,0.625846,0.321658,0.947031,2.68838,1.78998,-0.0807835,0.000129073,-0.000107298,0.000653115,0.000420183,-0.000838087,-0.00160027,0.00660563,-0.00549122,0.0334255,0.0215017,-0.0428925,-0.0818963,0.0414312,-88.48,-50.9017,-0.783567,-1.38512,-1.80493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2315.595389059,0,0.625872,0.322354,0.947377,2.68805,1.78998,-0.0808141,0.000594259,-0.00475407,-0.00391564,0.00249177,-0.000355967,0.00533951,7.746818811965127,-3.915995736222154,25.22925313086957,-0.3974530356572079,-0.1068803030700296,0.1974819148881979,-9.37756,-106.007,-67.3776,5.13971,-0.732534,-1.77584,0.5866,0.515555,1.17087,-0.24459,-0.312869,0.124044,0.909341,-0.00473588,-0.00452763,0.00583119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3439191,3316964,3674636,-2546255,15128639,2214435,-202508014,-104449998,-168637256,-725028735,59476724,21563163,0,0,0,0,0,0,0.625846,0.321658,0.947032,2.68838,1.78998,-0.0807869,0.000146573,-0.000121846,0.000741669,0.000477148,-0.000951722,-0.00181724,0.00728465,-0.00605568,0.0368615,0.0237119,-0.0473017,-0.0903147,0.0457971,-88.4667,-50.8904,-0.782653,-1.38622,-1.80651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2315.602236843,0,0.62587,0.32232,0.947371,2.68805,1.78998,-0.0808197,0.00178278,-0.00475407,-0.00533951,0.00498354,0.0,0.000355967,7.754515761404147,-3.954210121877708,25.24736891864179,-0.3984486802989634,-0.1075518747628619,0.196654278976243,-10.8046,-107.434,-66.8594,2.93697,-1.0988,-1.0877,0.586574,0.515535,1.1709,-0.244581,-0.312887,0.124038,0.909338,-0.00359949,-0.00290591,0.00461827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3439196,3317056,3674620,-2546252,15128639,2214450,-202507764,-104439622,-168637320,-725028873,59477039,21563422,0,0,0,0,0,0,0.625847,0.321657,0.947038,2.68839,1.78997,-0.0808001,0.000209493,-0.000174152,0.00106004,0.000682011,-0.00136025,-0.00259736,0.009744,-0.00810008,0.0493072,0.0317143,-0.0632727,-0.120803,0.0614328,-88.4181,-50.8495,-0.77938,-3.90343,-1.81221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2315.603357098,0,0.625869,0.322304,0.947372,2.68805,1.78998,-0.080819,-0.0,-0.00475407,-0.0010679,0.0042716,-0.00142387,0.0042716,7.754515761404147,-3.954210121877708,25.24736891864179,-0.3984486802989634,-0.1075518747628619,0.196654278976243,-6.62545,-107.944,-69.5804,2.59145,-0.266376,-1.82024,0.586562,0.515526,1.17091,-0.244579,-0.312894,0.124035,0.909337,-0.00556428,-0.00452557,0.0060262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3439199,3317099,3674622,-2546251,15128639,2214448,-202507603,-104435353,-168637297,-725028969,59477084,21563293,0,0,0,0,0,0,0.625848,0.321657,0.94704,2.68839,1.78997,-0.0808057,0.000235201,-0.000195523,0.00119012,0.000765687,-0.00152718,-0.00291608,0.0106911,-0.0088874,0.0541002,0.034796,-0.0694234,-0.132545,0.0675523,-88.4,-44.2256,-0.778099,-3.90565,-1.81452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2315.605381432,0,0.625869,0.322289,0.947368,2.68805,1.78998,-0.080816,0.00148565,-0.00475407,-0.0042716,-0.0,0.0,0.000355967,7.754515761404147,-3.954210121877708,25.24736891864179,-0.3984486802989634,-0.1075518747628619,0.196654278976243,-9.37756,-107.944,-67.0321,5.48523,-0.321871,-1.0877,0.58655,0.515517,1.17092,-0.244578,-0.312901,0.124032,0.909335,-0.00600113,-0.00435762,0.00704842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3439198,3317139,3674612,-2546257,15128636,2214440,-202507531,-104430635,-168637385,-725028766,59477146,21563596,0,0,0,0,0,0,0.625848,0.321657,0.947042,2.68839,1.78997,-0.0808119,0.000263373,-0.000218942,0.00133268,0.000857382,-0.00171012,-0.00326536,0.0117057,-0.00973076,0.0592344,0.0380971,-0.0760119,-0.145122,0.0741171,-88.3797,-44.1986,-0.776726,-3.90804,-1.81704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2315.607456724,0,0.625871,0.322274,0.94737,2.68805,1.78998,-0.0808164,0.00029713,-0.00475407,-0.00284774,0.00569547,-0.00142387,0.00533951,7.754515761404147,-3.954210121877708,25.24736891864179,-0.3984486802989634,-0.1075518747628619,0.196654278976243,-11.3142,-110.288,-69.1053,2.07316,-0.577148,-2.03112,0.586539,0.515511,1.17093,-0.244577,-0.312908,0.12403,0.909333,-0.00582763,-0.00305195,0.00494356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3439193,3317178,3674617,-2546249,15128641,2214441,-202507432,-104425468,-168637341,-725028980,59477174,21563409,0,0,0,0,0,0,0.625849,0.321656,0.947045,2.68839,1.78996,-0.0808188,0.000294183,-0.000244553,0.00148859,0.000957658,-0.00191018,-0.00364732,0.0127908,-0.0106328,0.0647256,0.0416276,-0.0830586,-0.158574,0.0811493,-88.3582,-44.1693,-0.77526,-3.91062,-1.81978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2315.609469714,0,0.625871,0.322255,0.947367,2.68805,1.78998,-0.0808164,0.00029713,-0.00475407,-0.0021358,0.00142387,-0.0010679,-0.0,7.746050058594462,-4.003561417356739,25.28658994213836,-0.4001657737208734,-0.1084808670338753,0.1953525722936005,-8.96984,-110.288,-68.2415,3.2825,-0.477257,-1.0877,0.586524,0.5155,1.17095,-0.244573,-0.312917,0.124025,0.909332,-0.00726043,-0.00554918,0.00848467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3439193,3317229,3674609,-2546258,15128637,2214441,-202507258,-104419733,-168637369,-725028997,59477195,21563670,0,0,0,0,0,0,0.62585,0.321656,0.947048,2.68839,1.78996,-0.0808266,0.00032781,-0.000272508,0.00165875,0.0010671,-0.00212854,-0.00406422,0.0139496,-0.0115961,0.07059,0.045398,-0.0905843,-0.17294,0.0886702,-88.3355,-44.1379,-0.773681,-3.91338,-1.82276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2315.61138139,0,0.62587,0.322238,0.947368,2.68805,1.78998,-0.0808152,0.00118852,-0.00594259,-0.0042716,0.000711934,-0.000711934,0.0042716,7.746050058594462,-4.003561417356739,25.28658994213836,-0.4001657737208734,-0.1084808670338753,0.1953525722936005,-9.88721,-106.925,-66.5138,5.83076,-1.30968,-2.08661,0.586512,0.51549,1.17096,-0.244571,-0.312924,0.124023,0.90933,-0.00615683,-0.00481704,0.00655469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3439195,3317275,3674610,-2546258,15128639,2214438,-202507214,-104414472,-168637416,-725028836,59477251,21563553,0,0,0,0,0,0,0.62585,0.321655,0.947052,2.6884,1.78995,-0.0808352,0.000364445,-0.000302961,0.00184414,0.00118633,-0.00236644,-0.0045184,0.0151855,-0.0126234,0.0768442,0.0494189,-0.0986101,-0.18826,0.0967016,-88.3106,-44.104,8.77704,-3.91638,-1.82599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2315.613374668,0,0.625869,0.322221,0.947365,2.68805,1.78998,-0.080819,0.00029713,-0.00653685,-0.000711934,0.00569547,-0.00391564,-0.0,7.746050058594462,-4.003561417356739,25.28658994213836,-0.4001657737208734,-0.1084808670338753,0.1953525722936005,-9.37756,-103.153,-69.2349,2.93697,-0.421762,-1.25419,0.586499,0.51548,1.17098,-0.244566,-0.312933,0.124019,0.909329,-0.00629798,-0.00523544,0.00734204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3439199,3317321,3674604,-2546257,15128639,2214448,-202507120,-104408301,-168637322,-725029093,59477207,21563903,0,0,0,0,0,0,0.625851,0.321654,0.947056,2.6884,1.78995,-0.0808448,0.000404284,-0.000336079,0.00204574,0.00131599,-0.00262514,-0.00501231,0.0165017,-0.0137175,0.083505,0.0537013,-0.107158,-0.204577,0.105267,-88.2846,-44.0676,8.78638,-3.91957,-1.82949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2315.615363902,0,0.625869,0.3222,0.947369,2.68805,1.78998,-0.080819,0.00029713,-0.00534833,-0.00533951,0.00249177,0.0,0.00569547,7.746050058594462,-4.003561417356739,25.28658994213836,-0.4001657737208734,-0.1084808670338753,0.1953525722936005,-6.62545,-108.352,-65.65,3.10974,-1.0988,-2.29749,0.586485,0.515471,1.17099,-0.244564,-0.31294,0.124017,0.909328,-0.0071603,-0.00466037,0.00687879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3439197,3317375,3674613,-2546253,15128635,2214448,-202506983,-104402069,-168637391,-725029101,59477303,21563751,0,0,0,0,0,0,0.625852,0.321654,0.94706,2.6884,1.78994,-0.0808554,0.00044753,-0.000372031,0.00226453,0.00145688,-0.00290588,-0.00554857,0.0179017,-0.0148813,0.0905907,0.0582541,-0.116251,-0.221931,0.114388,-88.2571,-44.0286,8.79648,-3.923,-1.83327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2315.617367115,0,0.625872,0.32218,0.947368,2.68805,1.78998,-0.0808186,0.00178278,-0.00564546,0.0,0.000711934,-0.00533951,-0.0,7.746050058594462,-4.003561417356739,25.28658994213836,-0.4001657737208734,-0.1084808670338753,0.1953525722936005,-9.88721,-101.726,-69.1053,6.17628,-0.899019,-1.40957,0.586469,0.51546,1.17101,-0.244563,-0.31295,0.124011,0.909325,-0.00818852,-0.00532136,0.00819472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3439191,3317430,3674612,-2546266,15128641,2214447,-202506959,-104395732,-168637201,-725028915,59477231,21564193,0,0,0,0,0,0,0.625853,0.321653,0.947065,2.6884,1.78994,-0.080867,0.000489319,-0.00040677,0.002476,0.00159286,-0.00317725,-0.00606663,0.0190032,-0.0157969,0.0961662,0.0618347,-0.123406,-0.235584,0.124091,-88.2276,-43.9869,8.80741,-3.92665,-1.83735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2315.619360103,0,0.62587,0.322163,0.947368,2.68805,1.78998,-0.0808167,-0.0,-0.0050512,-0.00533951,0.00569547,-0.000711934,0.00533951,7.727051834371875,-4.053323241146368,25.34083477436698,-0.402324183638635,-0.1096463865593727,0.1937607189562141,-6.62545,-105.498,-65.65,2.59145,-0.321871,-1.82024,0.586457,0.515451,1.17102,-0.24456,-0.312957,0.12401,0.909324,-0.00581737,-0.00460664,0.00628452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3439195,3317474,3674612,-2546257,15128641,2214442,-202506851,-104390546,-168637305,-725029270,59477306,21564088,0,0,0,0,0,0,0.625854,0.321652,0.94707,2.68841,1.78993,-0.0808796,0.000528064,-0.000438977,0.00267207,0.00171893,-0.00342886,-0.00654695,0.0197413,-0.0164104,0.0999024,0.0642326,-0.128201,-0.244731,0.131724,-88.2037,-43.9509,8.81758,-3.92978,-1.84111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
